project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
dwave-examples/factoring,a30424575ae4579402f2ea7d0369e1350888be68,2018-01-31T22:14:07Z,3a796e7b2f0ac255683d93ec79fdba410af616c2/c27eeab5c8daf42dcabbef69cc72f2bce012f6ad/0ef9d23a80526a0f8c99a1d43653a482899837a8/ee321a2c4f7a23424bdaed05c315526f28026505/863e0bdb5c1b3ed10c6b5bae02895260c4a312c2/d755552de7bd070d18575af80aef70ffed934118/,2018-01-31 15:51:56-08:00/2018-05-02 15:54:07-07:00/2018-02-06 16:56:47-08:00/2018-02-01 17:12:04-08:00/2018-01-31 15:24:09-08:00/2018-03-22 18:02:48-07:00/,Quick README update
rigetti/grove,dd1dad8f66a86ec88d8a764fb6e2118b1087bed4,2017-06-09T01:03:53Z,e5c9455ae514e53ac8c04927807bc5781147159c/662d15007043aff43c0ddeead9c44e0183d39046/6d47261a4ea2f01257ed7772a28ef19e1c6cfbfc/,2017-11-21 16:36:50-08:00/2018-12-17 14:30:45-08:00/2017-10-16 15:07:43-07:00/,"Adjusting W.F. use to pyQuil Wavefunction obj

Wavefunction objects were introduced to pyQuil as the default return object
after a `qvm.wavefunction` call is made.  Minor adjustments to the algorithms
in Grove were required to incorporate this small change.

Tests, documentation, and getting started notebooks were updated to reflect the
new pyQuil object."
qucontrol/krotov,92c563d8275f06c298b1e7f0dde289add50d3199,2019-02-17T19:48:14Z,d858802f543d058ea3017ec243392b81c23d890f/fb974de390a0b7f8b5ab34f720274fa5157feda8/19d8589c7017b7b082c92f779bccc27c29ffe612/cc95c9c3a715fef2450ee4cdb280ebe593836cfe/0e8a4dbe81bd3986dbc5c4464d49131727fd57ef/b9cd71789e9e5072c8e0458bf204d58e5bee1ea3/0eccd4485cecaf054ae43783ceb8ef4e67d3e10b/cd4ff18e828baf0fbc67de92930455349c80f4c8/,2020-03-15 16:11:45-04:00/2019-04-12 01:18:02-04:00/2019-02-17 16:40:28-05:00/2019-04-21 22:42:02-04:00/2019-10-10 23:03:15-04:00/2019-04-19 23:53:08-04:00/2019-04-21 14:04:25-04:00/2019-04-21 14:25:19-04:00/,"Update ""Using Krotov with QuTiP"""
mabuchilab/QNET,331169ff949a8f16e6798bb901ebfd7648218424,2015-12-10T04:28:45Z,5d1586581c0827c6dcbbc5bb0b091e0a379255ee/,2017-03-04 16:47:06-05:00/,Add trajectory_data module to documentation
netket/netket,9901715809acc0fb5c00fd43c6ee9acac019b2a4,2019-10-15T19:03:56Z,6d0f3183a617a26030699adc74b144e7aed2aab5/73082d371c46228ce15931d7ea0c668c765b826e/2a29aa5b336e8e6d2a1819c78fde915ab9fa13e5/4bc5771bdbc9a8474fac454f08de784bad28aead/,2019-10-16 09:50:47-04:00/2019-10-17 18:18:13-04:00/2019-11-07 13:43:42-05:00/2019-12-03 19:58:11-05:00/,Move sub-batching to sampler
netket/netket,0b6a67e2d40d00f9bb17feb248a8288610749ca0,2018-11-22T07:58:42Z,f0b99164389c8313a0d295feb4be920014520b64/78454f3bf84aa5f316597da1ba4340c92c64695b/6e59cf935ad923e50b912e948bf6681998382d7f/,2019-05-22 13:00:49+02:00/2018-11-22 09:02:50+01:00/2018-12-03 21:09:22-05:00/,put back the conv net in tests
qucontrol/krotov,ebf85960cad0393ed3f0650bbfaa330eac2431b1,2018-12-15T19:31:22Z,9f874587323f6282d3c10e40a6667920c7b30439/,2018-12-17 01:32:23-05:00/,"Raise NotImplementedError for check_convergence

This is until #25 is resolved properly."
qrefine/qrefine,125f982ecd639f48c6429ccef0285f24a219f744,2018-10-05T07:59:53Z,399b1064b99be623e9b34fd93033992048a13cb0/,2018-10-05 16:59:25+08:00/,fix for failing mode=opt
Qiskit/qiskit-aqua,c0e3ae489519bbbb042e840f0d63bce056ca0863,2019-04-10T14:16:01Z,18f21b0d89b4e55085c762603be920a902e3ee1c/dcab9adb877b6a49e411ec335a9314d4d717eee6/,2019-04-15 21:24:58+02:00/2019-04-12 18:23:25+02:00/,add test_hhl_random_non_hermitian again
dwave-examples/factoring,e8bab3b9d23a4e8fb06f443d9644a883f4953f67,2018-03-27T20:54:35Z,0e9f0e4b4501d751290ea62f30acfb9e9d52ae77/1367b2bd2e04389c6dbdf50d411dad8869eac2fe/,2018-05-10 09:54:25-07:00/2018-03-27 15:31:30-07:00/,Update Travis template
Qiskit/qiskit-aqua,ad603ee61e78db5109b5ff9a460215d2aa9b9374,2019-08-26T14:55:07Z,9afc2ec0867a429cb13c8020bca39ed3daec4cb0/1f4d859435271902f0f75579bd2e45f970144188/f82306435db0a2f706f2b7aa7fc30ad76cc81840/cc45875e583ad57a0cd9bdc26b1ca33646376f33/,2019-10-07 13:29:54-04:00/2020-01-18 13:08:55-05:00/2020-01-17 11:59:51-05:00/2019-09-03 01:11:02-04:00/,align the name of getting qubit op in ising translator
XanaduAI/thewalrus,70d55ec2a26e2c0053e955893159f072eeaec17f,2019-09-18T15:20:58Z,81ca176784872b052378a8e37b03ef127dbbf721/4c70f118383aebab85a6972dfdbdf612bd1739a9/,2019-09-24 15:03:22-04:00/2019-09-18 17:07:51-04:00/,Adds Josh's review
netket/netket,307704903b7160a33f97022885d403f8cddbfcf4,2018-11-16T16:31:20Z,ff974d6dc7740d252f7616bee8bc61dafdbdf4e4/f0b99164389c8313a0d295feb4be920014520b64/435440cd0f65eea33449d52585cf2ac3c786eff6/1f1ea0d47021c77c429e5d57d3f985abd3df67ef/6e59cf935ad923e50b912e948bf6681998382d7f/54fbdc349718829278b49cd6e002089553a07bc6/ebad2eea813abd319df31a3f4a83aa3d6e8f8c59/,2018-11-18 09:49:42-05:00/2019-05-22 13:00:49+02:00/2018-11-19 22:10:00+01:00/2018-11-20 12:00:14+01:00/2018-12-03 21:09:22-05:00/2018-12-05 19:58:09-05:00/2018-11-18 12:36:52-05:00/,Fix seg fault in machine tests
qucontrol/krotov,a38c84d7353679f773d5c0d36b3c2c9bbbebae92,2019-04-05T23:15:02Z,82f8f55f1e0f93a03c4efb380bc4ecb7aeebd98b/cd4ff18e828baf0fbc67de92930455349c80f4c8/da4864f40feb367bb2646337fe2b482801532191/7c20d3f6d4e3f7014849c6e95e610ae58556a031/,2019-04-16 16:47:49+02:00/2019-04-21 14:25:19-04:00/2019-06-29 14:00:37-04:00/2019-10-08 14:50:06-04:00/,Clean up example 4
qrefine/qrefine,703e51a937b3dedff1746c2074b5e8bb64849b9e,2017-11-04T20:48:23Z,9320146648f58d8e438434c880fffd4c87e73eb4/aaa6ae6ef595c935bf5926f0dad1c47efcce958d/be09389ecf16cbea2f0f42e089cb967ed16af665/,2019-08-23 16:44:51-07:00/2019-02-26 11:10:46+11:00/2017-11-28 21:28:04+08:00/,added info to README
aeantipov/pomerol,740b5773336132bc0e7f538dda342a57462a0386,2011-05-01T00:39:10Z,1b38b7df41d1771bd781012c9a45342ff42ba64b/,2011-05-01 01:46:39+00:00/,"Makefile.am : add -lhdf5

git-svn-id: https://pomerol.googlecode.com/svn/trunk@896 10c4dfc4-00c9-b076-3360-45a67c2f8363"
quantumlib/OpenFermion,6c1709348c63fc3ce8bfa5f7f8a9ae12146e7b57,2017-09-27T21:56:23Z,efb8b546457c1d1c56b5bc79020d6ab8dcdd141b/,2017-10-10 17:42:12-07:00/,fixing another readme link (#2)
qucontrol/krotov,2f768d98687c0254626a66cc0697cc90b8ee2e12,2019-12-15T20:56:05Z,d858802f543d058ea3017ec243392b81c23d890f/,2020-03-15 16:11:45-04:00/,Properly insert git tag into binder URLs
Qiskit/qiskit-aqua,419c5228433c57eda6b324780369c03039781e95,2019-04-30T14:50:17Z,cc45875e583ad57a0cd9bdc26b1ca33646376f33/1e55d3809047b754f6245d3a6a8eb58a2e3ecfa1/,2019-09-03 01:11:02-04:00/2020-03-05 21:38:45-05:00/,add `measurement` boolean flag to qpe's `construct_circuit()`
Qiskit/qiskit-aqua,f3a426f88da4760895a42751b1fe668fee3a834f,2018-08-31T14:17:17Z,6b4935491ef09b9d25df673cb4469292ec0e514c/89675fe091b212e1c8e3d36ec54d80d0ec67cc39/e2c178b8ccb39d8cdc39d11d0ee7ca42d4e78ce1/2a3febefed59e906809a27c6379de2b13d3eef31/5b565157017fdf6a06b0b867ae0ca4c9cdcd86b1/0a58a043eafb9c3d76769c188589c8c85b47f696/2f4f18f3cc74085a8d1d3ea497dee6ceb571f20e/3897ab766d9e49e4cb12b59b1b9a48147bf18052/0a1e29a59452c721fe17bd35e08a29f03b0468b4/7a05c563c949fa6ab4d4bfa676672bf4b56306b1/55a897a1530a073d80df5d40fb358a2604641893/daa689a953c1bbba05b0677af34c0f0901082d2b/b79f835379eba26faafb671fab3cdaaa2a0c30a8/010d90c73495785890e3f0f03f7164789bfe5fd3/9a2627641db78be3b06bc8608ddb9e6fdeae97eb/4822a5110b314c516b6aacbf5fac3e7439604c75/0ec712070500b876702488a068dae2b6c2ecbbf8/05cf3c3d4a2ac163c13e741924527c9ddb3e5768/a22a2a07b2006cede85b7733533145913a3dd37a/4af55747430ee794f8df586d40499d41f95e495a/d4674e81039d3742939e6063b9bfb6537aaa19c7/10a5b61e265ce94fc5e22e5669f6738cfa7e1db6/56d9e575fdd7041f6ec1c23a4342f6bebe378657/a295579c3709858015680755fcd63997ccfa0ee7/600633ca50dbae038f494162a67e3cab2a84b4b6/b0e3b4f4baa7e2d7efc29ceddd85ee135966e154/994b06fae5fb0a26c69a0f8a3b66532ebc74c008/4561f61545c76222456537224add5f0e0899b504/e3c758a76b6f2ff8d9dc49582c306fc8cf2b26d1/56bf8c7f240524832dadc52da1231448c62db654/831be1dc40528bf85d45995a9ba0acaf25c0c1aa/97c9871e334ae1e98c4eba025cf352e70f6a6701/cc45875e583ad57a0cd9bdc26b1ca33646376f33/fe4deda63523d1f08a0d0c74830f5e42c53f4d42/27f07ed5cab56a1ed5c8ccd2ab694dd30f5d7e6e/25a2abb5cf372b8fa98bd2d4862227b919c1296b/cddd8abb375f247f599d3d2e97eadc3844e299cf/,2018-08-31 13:32:01-04:00/2018-12-05 21:44:22-05:00/2019-03-29 11:52:35-04:00/2018-09-25 12:18:09-04:00/2020-05-28 19:26:27+02:00/2018-09-04 16:00:53-04:00/2018-10-26 15:22:51-04:00/2018-12-05 22:16:15-05:00/2019-01-28 13:26:13-05:00/2019-12-20 16:42:57-05:00/2019-02-13 22:29:15-05:00/2018-12-07 15:45:04-05:00/2020-06-11 12:48:20-04:00/2018-12-24 22:40:49-05:00/2018-10-02 11:37:11-04:00/2020-05-21 13:05:17-04:00/2018-10-04 10:38:33-04:00/2018-12-19 00:07:16-05:00/2019-02-01 20:09:05+01:00/2019-11-27 20:29:18-05:00/2018-08-31 11:22:29-04:00/2019-12-26 17:31:02-05:00/2019-04-24 23:31:59-04:00/2018-11-20 14:00:08-05:00/2018-11-20 11:32:21-05:00/2018-09-06 11:42:56-04:00/2019-06-17 13:25:49-04:00/2020-01-23 12:37:56-05:00/2018-12-04 17:45:53-05:00/2019-04-28 21:59:14-04:00/2018-11-19 16:37:57-05:00/2020-04-30 20:35:09+02:00/2019-09-03 01:11:02-04:00/2018-09-06 16:53:54-04:00/2019-01-09 20:21:56-05:00/2018-09-17 13:44:19-04:00/2019-08-16 02:05:27-04:00/,"1. update svm qkernel binary with pluggable feature map
2. reuse svm qkernel binary in qsvm_estimator
3. for multiclass extension, remap the label to 0 and 1 for each estimator rather than -1 and 1
4. refactor codes in svm qkernel; internally, all train, test, predict methods take numpy array as input rather than a dict
5. relocate data helper function into one place, and qpsolver function into utils
6. update and add more tests"
Qiskit/qiskit-aqua,34963e3d9044fec56d648ce650a81051db826d00,2018-08-31T11:16:48Z,c7b90ce622d1866401ad422d38fd00ce8598d8cb/eef3ca33819db3e0ef5a9489b153786e80de48e6/,2018-09-18 09:26:30+02:00/2018-09-11 14:57:05+02:00/,push before pull request
netket/netket,2cac2cf48f52bce46f5d9e3ae5cf7857ae066d79,2019-05-19T21:57:14Z,322f91bf158e271bd0c79fc71f1109bd50135838/47f652011f19a845663c3f2ba9f8ab6e66e5d9df/6b5642975db8d9ce6243db5314bfb50fd94cd113/1b7960897803208bde17f7b5cff552b6923358b6/853e91131dc64bfe67c411e82ec8c50cb051763a/,2020-03-18 12:08:52-04:00/2019-05-19 21:04:09-04:00/2019-07-26 15:53:02-04:00/2019-06-09 18:22:18-04:00/2019-07-24 11:47:11-04:00/,remove wrapper class for MachineFunction in AbstractSampler
JoshuaSBrown/QC_Tools,b2af2729598830ad48bdaa7bfd59918d71da7838,2019-02-02T18:37:45Z,7e399e188ff888e037996724b3b492d265d0a148/7894dc4ed7576f20eee41a840d32c1845a794078/,2019-04-04 16:48:57-06:00/2019-04-06 09:40:35-06:00/,Fixed travis finally
Qiskit/qiskit-aqua,171cddaee5c8f8553d3ca495bce1b5c2ef7043c9,2019-01-25T19:50:29Z,10a3a85de58e664096490cab07861c627d28eb98/,2019-02-11 15:49:21+01:00/,change scale default
quantumlib/OpenFermion,3e2572dcfc62d972894333600214865ed2b78f85,2018-01-22T01:18:31Z,29a8a89fdf53d49dce534adfd9eb3f9c08748d16/,2018-01-21 17:23:51-08:00/,set logo to reasonable size (#184)
Qiskit/qiskit-aqua,5fadcf08cc83e8b74bc14a45f3653847a16a2cf3,2019-01-17T12:15:35Z,52cd926675524122252ea001dc5cf6bc29ecb1bc/4e7ce2d9f6153fc93a7bddf5a6e34f307fb6a3f1/dc51f8961ffc5bcaac480330bcc2ab9d04fb04d7/4ac1bc510487c8e112650e020b4011aaae67c86c/a69d4792642ae53172b470e7380a84a03df5b1ad/66d1f5fe991b423d6c24f0b0cae7bac31c1c28ba/8f72ea26ae48f26dc27ced875022532ae02b43fb/e44bb209a41d9f85a0f115b21b3b150bff65ee66/a4b9c1984acd75bb9ca0120c909eded5201b0459/,2019-02-12 21:32:42+01:00/2019-05-28 17:31:06+02:00/2020-09-28 13:57:31-04:00/2019-01-21 18:27:48+01:00/2019-07-17 16:43:55-04:00/2019-04-05 15:50:41-04:00/2019-02-11 16:51:26+01:00/2020-09-15 11:03:16+02:00/2019-02-06 00:01:36+01:00/,"make phase_estimation.py work for HHL, remove redundant QPE code from eigs/qpe.py"
netket/netket,3cae9c25ab0259f2a36671550e0846393d0c4b91,2018-12-12T20:57:40Z,94ba32c54a2bec3c3acb8c65aa4f199c1a2cfb8f/59822e5d41b9262a3bd7e9bc264940df5d92687a/,2019-06-06 17:24:10-04:00/2019-06-10 14:28:12-04:00/,Moved the implementation of MPIInitializer to Utils/mpi_interface.hpp
aeantipov/pomerol,2438ee4001bfc42ba8dc90bcedf40ea14c3b7419,2012-01-17T13:26:20Z,44b3a40aca81c7a80da4fae07c01be2c9cc2f8c0/,2012-08-09 15:30:00+02:00/,"minor: aclocal upd

git-svn-id: https://pomerol.googlecode.com/svn/trunk@972 10c4dfc4-00c9-b076-3360-45a67c2f8363"
JoshuaSBrown/QC_Tools,eeed927cebdaaefbb26ebc2fe97171708d2ced0a,2019-08-20T06:48:18Z,2af2709b256c4a29d42297cb7cca4161db6dc7bf/,2019-08-20 00:57:25-06:00/,Fix problem with no spaces when reading in energies from gaussian log files
qrefine/qrefine,f1f2834d32b95759aecb970a78035b78ca65ec98,2017-06-27T14:14:40Z,1d154c8f9cb77dbeaed8c527308e0fa5dfcfff6d/a29868fcd4b5d95e2480d20ae3e0bd299e6da8f2/801a2a021998eb0ec8bfa5c5aee8e36c08a4f21f/13b7ef1bb22502e7ee7fe5aa17135f8307aeeb92/,2017-08-30 23:19:10+08:00/2017-06-28 12:08:28+02:00/2019-01-20 15:43:49+08:00/2017-06-27 17:37:44+02:00/,tst_18 works for completed altloc
mabuchilab/QNET,1fedf46ac5c0a439d270f615d269a9b2ede8188e,2016-02-23T16:22:33Z,3c622deef32d3b5a3709b534a0a4d7322aa5ae97/a2200fd72bb284066079fc269a26abee533e1b09/,2016-02-23 10:28:56-08:00/2018-04-01 02:42:50-04:00/,Add `delay` option to QSDCodeGen.run
netket/netket,2fd4905c8c8d26219073ad589316d68143747354,2019-11-15T09:21:41Z,4ea94048cd598c250b438914e67e0f2fe59ce884/,2019-11-15 12:19:10+01:00/,Add a no-edge customgraph constructor so that single-site open systems can be simulated
rigetti/grove,a29dc20fe558ed5bbb98692de9ed3834dcf24df7,2018-05-10T18:50:14Z,7c03431b00d2e8324a132a41de367936d7c47385/4d69a971e4e405b6304299099d1e802e7a4afcce/ba03e42d16d57b546f7ccd4f2c7d70416d748574/,2018-05-14 11:39:42-07:00/2018-05-10 11:52:22-07:00/2018-05-14 10:15:29-07:00/,docs for jordan gradient
XanaduAI/thewalrus,32960f18a8c4643b1d44aaf46fbf1e8b280d4bd1,2019-12-06T19:45:38Z,44e1a75ebd0a5cca98fc6482a192e5d64388e4c2/4c35dbb362bfb44ab4009e499b7cc6cd275635d5/c6a336751f4f5f4a06c0590f9e8b8ff3cdcc547c/da22429058ad3c2457401373d2b6872804e782b3/f66dd4ab56c63787697efebe4be556d93597d177/d6349fc7ec2ece09c123a544a3364902849e7c49/5b49e20008d0db724f070bccc61fce7de3a103d5/c344f07d70d93a00b7f26eadcc4f2d03260a451c/9b5608bfcc4cc162490b2b6dd6c49ea57a0939bf/2f6b3d1f942e9914ca18cff5edb7c1cc8afdc79b/94ad1905ff769083e822a305aba881c38eab559b/cec7558547afb58f1298335edfafdfbf2651c6a4/f0b93cda008babf0e59eff5a1b5b8200ae7541ec/,2019-12-06 16:39:43-05:00/2019-12-06 17:32:13-05:00/2019-12-12 10:33:44-05:00/2019-12-09 08:40:15-05:00/2019-12-25 16:31:52-05:00/2019-12-10 19:15:55-05:00/2019-12-06 17:27:29-05:00/2019-12-09 15:42:01-05:00/2020-01-15 15:14:37-05:00/2020-01-15 17:03:21-05:00/2019-12-07 15:16:43-05:00/2020-02-10 16:31:18-05:00/2019-12-12 13:17:18-05:00/,Adds X and Z gates
XanaduAI/thewalrus,e33b63065f29d38955ad09ec2451b552feedb4c9,2019-07-11T16:39:02Z,5a022b3777c47935df220528b102e4fa7e29685f/,2019-07-11 15:12:14-04:00/,Mostly complext implementation in geenrate_hafnian_sample
XanaduAI/thewalrus,9f1a9e987e22496184324d63d4c330343eab4667,2019-11-18T00:10:42Z,f6d9ee5518d24865b2c486b8c0002593fc72b740/,2019-11-18 10:55:30-05:00/,Test for pooling currently fail
Qiskit/qiskit-aqua,de44fecd6eafd373a239553062adc855c3bde07d,2018-07-19T20:36:23Z,f2ceaf5b9e5e95fa024d3a5dfa6de0375d87fa3e/,2018-07-24 16:43:14-04:00/,first attempt on varform based init_state with test vqe->iqpe
netket/netket,8282c22e74b7dd520c96356f27295f0be4737aed,2019-01-07T23:33:26Z,e06de8889bc730b6ef802f46b3f6c854e8454428/a765a5d8191e894b51b963d30013608e897ca1f3/d9e17ae0690febb577c914df7516a2e5d27bec57/,2019-01-10 10:46:51-07:00/2019-02-14 00:01:00-08:00/2019-01-09 13:07:09-07:00/,Fixing travis problem and finishing Vmc doc.
